## 토큰, 레이블 구분자 : \t
## 토큰 구분자 : \n
## 문장 구분자 : \n\n
## 주석 : ##
## 칼럼명 : INDEX	WORD_FORM	LEMMA	POS	HEAD	DEPREL
## klue-dp-v1_train_00000_wikitree	해당 그림을 보면 디즈니 공주들이 브리트니 스피어스의 앨범이나 뮤직비디오, 화보 속 모습을 똑같이 재연했다.
1	검찰은	검찰 은	NNG+JX	10	NP_SBJ
2	비자금	비자금	NNG	3	NP
3	가운데	가운데	NNG	5	NP
4	상당	상당	NNG	5	NP
5	부분이	부분 이	NNG+JKS	8	NP_SBJ
6	정	정	NNP	7	NP
7	전부회장에게	전 부회장 에게	MMD+NNG+JKB	8	NP_AJT
8	상납된	상납 되 ㄴ	NNG+XSV+ETM	9	VP_MOD
9	것으로	것 으로	NNB+JKB	10	NP_AJT
10	의심하고	의심 하 고	NNG+XSV+EC	11	VP
11	있다.	있 다 .	VX+EF+SF	0	VP

## klue-dp-v1_train_00067_wikitree	이어 \"내가 제일 좋아하는 가수가 정인이다. 정인도 한쪽 귀가 들리지 않는다. 하지만 노력 끝에 좋은 가수가 됐다”고 소개했다.
1	이어	이어	MAG	18	AP
2	\"내가	\" 내 가	SS+NP+JKS	4	NP_SBJ
3	제일	제일	MAG	4	NP_AJT
4	좋아하는	좋 아 하 는	VV+EC+VX+ETM	5	VP_MOD
5	가수가	가수 가	NNG+JKS	6	NP_SBJ
6	정인이다.	정인 이 다 .	NNP+VCP+EF+SF	11	VNP
7	정인도	정인 도	NNP+JX	10	NP_SBJ
8	한쪽	한쪽	NNG	9	NP
9	귀가	귀 가	NNG+JKS	10	NP_SBJ
10	들리지	들리 지	VV+EC	11	VP
11	않는다.	않 는다 .	VX+EF+SF	17	VP
12	하지만	하지만	MAJ	17	AP
13	노력	노력	NNG	14	NP
14	끝에	끝 에	NNG+JKB	17	NP_AJT
15	좋은	좋 은	VA+ETM	16	VP_MOD
16	가수가	가수 가	NNG+JKC	17	NP_CMP
17	됐다”고	되 었 다 ” 고	VV+EP+EF+SS+JKQ	18	VP_CMP
18	소개했다.	소개 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00068_wikitree	이 코너는 갑자기 가슴이 사라진 전효성 씨로 발칵 뒤집힌 세상을 상상했다.
1	이	이	MMD	2	DP
2	코너는	코너 는	NNG+JX	11	NP_SBJ
3	갑자기	갑자기	MAG	5	AP
4	가슴이	가슴 이	NNG+JKS	5	NP_SBJ
5	사라진	사라지 ㄴ	VV+ETM	7	VP_MOD
6	전효성	전효성	NNP	7	NP
7	씨로	씨 로	NNB+JKB	9	NP_AJT
8	발칵	발칵	MAG	9	AP
9	뒤집힌	뒤집히 ㄴ	VV+ETM	10	VP_MOD
10	세상을	세상 을	NNG+JKO	11	NP_OBJ
11	상상했다.	상상 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00069_wikitree	모델별로 카이런 3만7313대, 액티언 2만8724대, 액티언스포츠 2만7068대, 렉스턴 1만9815대 등이다.
1	모델별로	모델 별 로	NNG+XSN+JKB	10	NP_AJT
2	카이런	카이런	NNP	3	NP
3	3만7313대,	3 만 7313 대 ,	SN+NR+SN+NNB+SP	9	NP_CNJ
4	액티언	액티언	NNP	5	NP
5	2만8724대,	2 만 8724 대 ,	SN+NR+SN+NNB+SP	9	NP_CNJ
6	액티언스포츠	액티언스포츠	NNP	7	NP
7	2만7068대,	2 만 7068 대 ,	SN+NR+SN+NNB+SP	9	NP_CNJ
8	렉스턴	렉스턴	NNP	9	NP
9	1만9815대	1 만 9815 대	SN+NR+SN+NNB	10	NP
10	등이다.	등 이 다 .	NNB+VCP+EF+SF	0	VNP

## klue-dp-v1_train_00070_wikitree	11일 경찰은 중간 수사 결과를 발표하며 김 씨가 10일 오전 한 상점에 침입해 여주인을 성폭행했다고 밝혔다.
1	11일	11 일	SN+NNB	6	NP_AJT
2	경찰은	경찰 은	NNG+JX	6	NP_SBJ
3	중간	중간	NNG	4	NP
4	수사	수사	NNG	5	NP
5	결과를	결과 를	NNG+JKO	6	NP_OBJ
6	발표하며	발표 하 며	NNG+XSV+EC	16	VP
7	김	김	NNP	8	NP
8	씨가	씨 가	NNB+JKS	13	NP_SBJ
9	10일	10 일	SN+NNB	10	NP
10	오전	오전	NNG	13	NP_AJT
11	한	한	MMN	12	DP
12	상점에	상점 에	NNG+JKB	13	NP_AJT
13	침입해	침입 하 여	NNG+XSV+EC	15	VP
14	여주인을	여주인 을	NNG+JKO	15	NP_OBJ
15	성폭행했다고	성폭행 하 였 다고	NNG+XSV+EP+EC	16	VP_AJT
16	밝혔다.	밝히 었 다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00071_wikitree	이에 청와대 출입기자단은 이들 언론사가 '비보도 약속을 위반했다'며 출입정지의 징계를 내렸습니다.
1	이에	이 에	NP+JKB	11	NP_AJT
2	청와대	청와대	NNP	3	NP
3	출입기자단은	출입 기자단 은	NNG+NNG+JX	8	NP_SBJ
4	이들	이 들	NP+XSN	5	NP
5	언론사가	언론사 가	NNG+JKS	8	NP_SBJ
6	'비보도	' 비 보도	SS+XPN+NNG	7	NP
7	약속을	약속 을	NNG+JKO	8	NP_OBJ
8	위반했다'며	위반 하 였 다 ' 며	NNG+XSV+EP+EF+SS+EC	11	VP
9	출입정지의	출입 정지 의	NNG+NNG+JKG	10	NP_MOD
10	징계를	징계 를	NNG+JKO	11	NP_OBJ
11	내렸습니다.	내리 었 습니다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00072_wikitree	이 댓글에는 보좌관이 아닌 힐러리 본인이 직접 썼다는 표시인 이니셜 'H'가 함께 담겼다.
1	이	이	MMD	2	DP
2	댓글에는	댓글 에 는	NNG+JKB+JX	13	NP_AJT
3	보좌관이	보좌관 이	NNG+JKS	4	NP_CMP
4	아닌	아니 ㄴ	VCN+ETM	6	VP_MOD
5	힐러리	힐러리	NNP	6	NP
6	본인이	본인 이	NNG+JKS	8	NP_SBJ
7	직접	직접	MAG	8	AP
8	썼다는	쓰 었 다는	VV+EP+ETM	9	VP_MOD
9	표시인	표시 이 ㄴ	NNG+VCP+ETM	11	VNP_MOD
10	이니셜	이니셜	NNG	11	NP
11	'H'가	' H ' 가	SS+SL+SS+JKS	13	NP_SBJ
12	함께	함께	MAG	13	AP
13	담겼다.	담기 었 다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00073_wikitree	한 페이스북 이용자가 '후의 미래'라며 올려주신 사진입니다.
1	한	한	MMN	3	DP
2	페이스북	페이스북	NNP	3	NP
3	이용자가	이용자 가	NNG+JKS	6	NP_SBJ
4	'후의	' 후 의	SS+NNG+JKG	5	NP_MOD
5	미래'라며	미래 ' 이 라며	NNG+SS+VCP+EC	6	VNP
6	올려주신	올리 어 주 시 ㄴ	VV+EC+VX+EP+ETM	7	VP_MOD
7	사진입니다.	사진 이 ㅂ니다 .	NNG+VCP+EF+SF	0	VNP

## klue-dp-v1_train_00074_wikitree	특히 최근 국정수행에 대한 여론조사 결과, 박 대통령 지지율이 속절없이 추락하면서 국정운영의 마지노선으로 여겨지는 30%를 위협하는 수준에 도달한 것이 총리 교체에 결정적인 영향을 미친 것으로 보인다.
1	특히	특히	MAG	26	AP
2	최근	최근	NNG	3	NP
3	국정수행에	국정 수행 에	NNG+NNG+JKB	4	NP_AJT
4	대한	대하 ㄴ	VV+ETM	5	VP_MOD
5	여론조사	여론 조사	NNG+NNG	6	NP
6	결과,	결과 ,	NNG+SP	26	NP_AJT
7	박	박	NNP	8	NP
8	대통령	대통령	NNG	9	NP
9	지지율이	지지 율 이	NNG+XSN+JKS	11	NP_SBJ
10	속절없이	속절없이	MAG	11	AP
11	추락하면서	추락 하 면서	NNG+XSV+EC	18	VP
12	국정운영의	국정 운영 의	NNG+NNG+JKG	13	NP_MOD
13	마지노선으로	마지노선 으로	NNG+JKB	14	NP_AJT
14	여겨지는	여기 어 지 는	VV+EC+VX+ETM	15	VP_MOD
15	30%를	30 % 를	SN+SW+JKO	16	NP_OBJ
16	위협하는	위협 하 는	NNG+XSV+ETM	17	VP_MOD
17	수준에	수준 에	NNG+JKB	18	NP_AJT
18	도달한	도달 하 ㄴ	NNG+XSV+ETM	19	VP_MOD
19	것이	것 이	NNB+JKS	24	NP_SBJ
20	총리	총리	NNG	21	NP
21	교체에	교체 에	NNG+JKB	24	NP_AJT
22	결정적인	결정 적 이 ㄴ	NNG+XSN+VCP+ETM	23	VNP_MOD
23	영향을	영향 을	NNG+JKO	24	NP_OBJ
24	미친	미치 ㄴ	VV+ETM	25	VP_MOD
25	것으로	것 으로	NNB+JKB	26	NP_AJT
26	보인다.	보이 ㄴ다 .	VV+EF+SF	0	VP

## klue-dp-v1_train_00075_wikitree	학생들의 중간고사 기간을 맞아 SNS에서는 때로 침통함마저 느껴진다.
1	학생들의	학생 들 의	NNG+XSN+JKG	3	NP_MOD
2	중간고사	중간 고사	NNG+NNG	3	NP
3	기간을	기간 을	NNG+JKO	4	NP_OBJ
4	맞아	맞 아	VV+EC	8	VP
5	SNS에서는	SNS 에서 는	SL+JKB+JX	8	NP_AJT
6	때로	때로	MAG	8	AP
7	침통함마저	침통 하 ㅁ 마저	NNG+XSA+ETN+JX	8	VP_SBJ
8	느껴진다.	느끼 어 지 ㄴ다 .	VV+EC+VX+EF+SF	0	VP

## klue-dp-v1_train_00076_wikitree	지난 10월 FOMC 회의 이후 재닛 옐런 연준 의장을 비롯한 많은 연준 위원들이 12월 금리 인상을 강하게 시사해왔다.
1	지난	지나 ㄴ	VV+ETM	2	VP_MOD
2	10월	10 월	SN+NNB	4	NP
3	FOMC	FOMC	SL	4	NP
4	회의	회의	NNG	5	NP
5	이후	이후	NNG	18	NP_AJT
6	재닛	재닛	NNP	7	NP
7	옐런	옐런	NNP	9	NP
8	연준	연준	NNG	9	NP
9	의장을	의장 을	NNG+JKO	10	NP_OBJ
10	비롯한	비롯하 ㄴ	VV+ETM	13	VP_MOD
11	많은	많 은	VA+ETM	13	VP_MOD
12	연준	연준	NNG	13	NP
13	위원들이	위원 들 이	NNG+XSN+JKS	18	NP_SBJ
14	12월	12 월	SN+NNB	16	NP
15	금리	금리	NNG	16	NP
16	인상을	인상 을	NNG+JKO	18	NP_OBJ
17	강하게	강하 게	VA+EC	18	VP_AJT
18	시사해왔다.	시사 하 여 오 았 다 .	NNG+XSV+EC+VX+EP+EF+SF	0	VP

## klue-dp-v1_train_00077_wikitree	이후 10개월 동안 학점은행제로 학사학위에 필요한 학점을 모두 이수해 과학기술연합대학원대학교 천문우주과학 전공 대학원에 입학했다.
1	이후	이후	NNG	9	NP_AJT
2	10개월	10 개월	SN+NNB	3	NP
3	동안	동안	NNG	9	NP_AJT
4	학점은행제로	학점 은행 제 로	NNG+NNG+XSN+JKB	9	NP_AJT
5	학사학위에	학사 학위 에	NNG+NNG+JKB	6	NP_AJT
6	필요한	필요 하 ㄴ	NNG+XSA+ETM	7	VP_MOD
7	학점을	학점 을	NNG+JKO	9	NP_OBJ
8	모두	모두	MAG	9	AP
9	이수해	이수 하 어	NNG+XSV+EC	14	VP
10	과학기술연합대학원대학교	과학기술연합대학원대학교	NNP	13	NP
11	천문우주과학	천문 우주 과학	NNG+NNG+NNG	12	NP
12	전공	전공	NNG	13	NP
13	대학원에	대학원 에	NNG+JKB	14	NP_AJT
14	입학했다.	입학 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00078_wikitree	식목일인 오늘 지구를 생각하며 작은 나무 한 그루 심어보세요.
1	식목일인	식목일 이 ㄴ	NNG+VCP+ETM	2	VNP_MOD
2	오늘	오늘	NNG	9	NP_AJT
3	지구를	지구 를	NNG+JKO	4	NP_OBJ
4	생각하며	생각 하 며	NNG+XSV+EC	9	VP
5	작은	작 은	VA+ETM	6	VP_MOD
6	나무	나무	NNG	8	NP
7	한	한	MMN	8	DP
8	그루	그루	NNB	9	NP_OBJ
9	심어보세요.	심 어 보 시 어 요 .	VV+EC+VX+EP+EF+JX+SF	0	VP

## klue-dp-v1_train_00079_wikitree	17일 방송된 JTBC 예능 프로그램 '투유 프로젝트 - 슈가맨’에서 밴드 이지 보컬 오 씨는 지난2005년에 큰 인기를 얻었던 노래 '응급실’을 부르는 깜짝 무대를 선보였다.
1	17일	17 일	SN+NNB	2	NP_AJT
2	방송된	방송 되 ㄴ	NNG+XSV+ETM	9	VP_MOD
3	JTBC	JTBC	SL	5	NP
4	예능	예능	NNG	5	NP
5	프로그램	프로그램	NNG	9	NP
6	'투유	' 투유	SS+NNG	7	NP
7	프로젝트	프로젝트	NNG	8	NP
8	-	-	SS	9	X
9	슈가맨’에서	슈가맨 ’ 에서	NNP+SS+JKB	24	NP_AJT
10	밴드	밴드	NNG	11	NP
11	이지	이지	NNP	12	NP
12	보컬	보컬	NNG	14	NP
13	오	오	NNP	14	NP
14	씨는	씨 는	NNB+JX	24	NP_SBJ
15	지난2005년에	지나 ㄴ 2005 년 에	VV+ETM+SN+NNB+JKB	18	NP_AJT
16	큰	크 ㄴ	VA+ETM	17	VP_MOD
17	인기를	인기 를	NNG+JKO	18	NP_OBJ
18	얻었던	얻 었 던	VV+EP+ETM	19	VP_MOD
19	노래	노래	NNG	20	NP
20	'응급실’을	' 응급실 ’ 을	SS+NNP+SS+JKO	21	NP_OBJ
21	부르는	부르 는	VV+ETM	23	VP_MOD
22	깜짝	깜짝	MAG	23	NP
23	무대를	무대 를	NNG+JKO	24	NP_OBJ
24	선보였다.	선 보이 었 다 .	NNG+VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00080_wikitree	서울의 낮 기온은 26도로 전날보다 조금 낮겠습니다.
1	서울의	서울 의	NNP+JKG	3	NP_MOD
2	낮	낮	NNG	3	NP
3	기온은	기온 은	NNG+JX	4	NP_SBJ
4	26도로	26 도 로	SN+NNB+JKB	7	NP_AJT
5	전날보다	전 날 보다	MMD+NNG+JKB	7	NP_AJT
6	조금	조금	MAG	7	AP
7	낮겠습니다.	낮 겠 습니다 .	VA+EP+EF+SF	0	VP

## klue-dp-v1_train_00081_wikitree	나빴던 건 신호등이 아니라, 타이밍이 아니라, 내 수많은 망설임이었다.
1	나빴던	나쁘 았 던	VA+EP+ETM	2	VP_MOD
2	건	것 ㄴ	NNB+JX	4	NP_SBJ
3	신호등이	신호등 이	NNG+JKS	4	NP_CMP
4	아니라,	아니 라 ,	VCN+EC+SP	6	VP
5	타이밍이	타이밍 이	NNG+JKC	6	NP_CMP
6	아니라,	아니 라 ,	VCN+EC+SP	9	VP
7	내	나 의	NP+JKG	9	NP_MOD
8	수많은	수 많 은	NNG+VA+ETM	9	VP_MOD
9	망설임이었다.	망설이 ㅁ 이 었 다 .	VV+ETN+VCP+EP+EF+SF	0	VNP

## klue-dp-v1_train_00082_wikitree	또 한 기독교 콜로키엄 회원으로도 활발하게 활동한 것으로 알려졌다.
1	또	또	MAG	9	AP
2	한	한	MMN	3	NP
3	기독교	기독교	NNG	4	NP
4	콜로키엄	콜로키엄	NNG	5	NP
5	회원으로도	회원 으로 도	NNG+JKB+JX	7	NP_AJT
6	활발하게	활발하 게	VA+EC	7	VP_AJT
7	활동한	활동 하 ㄴ	NNG+XSV+ETM	8	VP_MOD
8	것으로	것 으로	NNB+JKB	9	NP_AJT
9	알려졌다.	알리 어 지 었 다 .	VV+EC+VX+EP+EF+SF	0	VP

## klue-dp-v1_train_00083_wikitree	스티븐슨 교수와 울퍼 교수의 연구는 이른바 `이스터린의 역설'과 상반되는 연구결과여서 주목을 받고 있다.
1	스티븐슨	스티븐슨	NNP	2	NP
2	교수와	교수 와	NNG+JC	4	NP_CNJ
3	울퍼	울퍼	NNP	4	NP
4	교수의	교수 의	NNG+JKG	5	NP_MOD
5	연구는	연구 는	NNG+JX	10	NP_SBJ
6	이른바	이른바	MAG	10	AP
7	`이스터린의	` 이스터린 의	SS+NNG+JKG	8	NP
8	역설'과	역설 ' 과	NNG+SS+JC	9	NP_AJT
9	상반되는	상반 되 는	NNG+XSV+ETM	10	VP_MOD
10	연구결과여서	연구 결과 이 어서	NNG+NNG+VCP+EC	12	VNP
11	주목을	주목 을	NNG+JKO	12	NP_OBJ
12	받고	받 고	VV+EC	13	VP
13	있다.	있 다 .	VX+EF+SF	0	VP

## klue-dp-v1_train_00084_wikitree	이를 위해 도쿄국립박물관에 질의서를 보내 2005년 국립문화재연구소의 조사 때 발견되지 않은 백옥이 올해 등장한 이유, 이 총재가 열람할 당시 투구와 최근 공개된 투구의 장식이 다른 이유 등을 밝혀달라고 요청할 계획이다.
1	이를	이 를	NP+JKO	2	NP_OBJ
2	위해	위하 여	VV+EC	5	VP
3	도쿄국립박물관에	도쿄국립박물관 에	NNP+JKB	5	NP_AJT
4	질의서를	질의 서 를	NNG+NNG+JKO	5	NP_OBJ
5	보내	보내 어	VV+EC	29	VP
6	2005년	2005 년	SN+NNB	8	NP
7	국립문화재연구소의	국립문화재연구소 의	NNP+JKG	8	NP_MOD
8	조사	조사	NNG	9	NP
9	때	때	NNG	10	NP_AJT
10	발견되지	발견 되 지	NNG+XSV+EC	11	VP
11	않은	않 은	VX+ETM	12	VP_MOD
12	백옥이	백옥 이	NNG+JKS	14	NP_SBJ
13	올해	올해	NNG	14	NP_AJT
14	등장한	등장 하 ㄴ	NNG+XSV+ETM	15	VP_MOD
15	이유,	이유 ,	NNG+SP	26	NP_CNJ
16	이	이	NNP	17	NP
17	총재가	총재 가	NNG+JKS	18	NP_SBJ
18	열람할	열람 하 ㄹ	NNG+XSA+ETM	19	VP_MOD
19	당시	당시	NNG	20	NP
20	투구와	투구 와	NNG+JC	23	NP_CNJ
21	최근	최근	NNG	22	NP_AJT
22	공개된	공개 되 ㄴ	NNG+XSV+ETM	23	VP_MOD
23	투구의	투구 의	NNG+JKG	24	NP_MOD
24	장식이	장식 이	NNG+JKS	25	NP_SBJ
25	다른	다른	MMD	26	DP
26	이유	이유	NNG	27	NP
27	등을	등 을	NNB+JKO	28	NP_OBJ
28	밝혀달라고	밝히 어 달 라고	VV+EC+VX+EC	29	VP_CMP
29	요청할	요청 하 ㄹ	NNG+XSV+ETM	30	VP_MOD
30	계획이다.	계획 이 다 .	NNG+VCP+EF+SF	0	VNP

## klue-dp-v1_train_00085_wikitree	이수만 SM엔터테인먼트 회장은 2천1억원으로 2위로 밀려났다.
1	이수만	이수만	NNP	3	NP
2	SM엔터테인먼트	SM 엔터테인먼트	SL+NNG	3	NP
3	회장은	회장 은	NNG+JX	4	NP_SBJ
4	2천1억원으로	2 천 1 억 원 으로	SN+NR+SN+NR+NNB+JKB	6	NP_AJT
5	2위로	2 위 로	SN+NNB+JKB	6	NP_AJT
6	밀려났다.	밀리 어 나 았 다 .	VV+EC+VX+EP+EF+SF	0	VP

## klue-dp-v1_train_00086_wikitree	쿠즈네츠의 메달은 그의 아들로 역시 경제학자인 폴 쿠즈네츠가 경매에 내놓았다.
1	쿠즈네츠의	쿠즈네츠 의	NNP+JKG	2	NP_MOD
2	메달은	메달 은	NNG+JX	10	NP_OBJ
3	그의	그 의	NP+JKG	4	NP_MOD
4	아들로	아들 로	NNG+JKB	6	NP_AJT
5	역시	역시	MAG	6	AP
6	경제학자인	경제 학자 이 ㄴ	NNG+NNG+VCP+ETM	8	VNP_MOD
7	폴	폴	NNP	8	NP
8	쿠즈네츠가	쿠즈네츠 가	NNP+JKS	10	NP_SBJ
9	경매에	경매 에	NNG+JKB	10	NP_AJT
10	내놓았다.	내 어 놓 았 다 .	VV+EC+VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00087_wikitree	통영관광개발공사는 이날 케이블카 간격을 조절하는 전원장치의 안전센서가 고장 나 3~5분 작동이 멈췄다고 밝혔다.
1	통영관광개발공사는	통영관광개발공사 는	NNP+JX	13	NP_SBJ
2	이날	이 날	MMD+NNG	9	NP_AJT
3	케이블카	케이블 카	NNG+NNG	4	NP
4	간격을	간격 을	NNG+JKO	5	NP_OBJ
5	조절하는	조절 하 는	NNG+XSV+ETM	6	VP_MOD
6	전원장치의	전원 장치 의	NNG+NNG+JKG	7	NP_MOD
7	안전센서가	안전 센서 가	NNG+NNG+JKS	9	NP_SBJ
8	고장	고장	NNG	9	NP_SBJ
9	나	나 아	VV+EC	12	VP
10	3~5분	3 ~ 5 분	SN+SO+SN+NNB	12	NP_AJT
11	작동이	작동 이	NNG+JKS	12	NP_SBJ
12	멈췄다고	멈추 었 다고	VV+EP+EC	13	VP_AJT
13	밝혔다.	밝히 었 다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00088_wikitree	라면(평균 포함 소금량 2g) 175봉지 정도다.
1	라면(평균	라면 ( 평균	NNG+SS+NNG	2	NP
2	포함	포함	NNG	3	NP
3	소금량	소금 량	NNG+NNG	4	NP
4	2g)	2 g )	SN+SL+SS	5	NP
5	175봉지	175 봉지	SN+NNG	6	NP
6	정도다.	정도 이 다 .	NNG+VCP+EF+SF	0	VNP

## klue-dp-v1_train_00089_wikitree	한편 별은 지난 9일 오전 8시 15분경 서울에 위치한 한 산부인과에서 아들을 출산했다.
1	한편	한편	MAG	13	AP
2	별은	별 은	NNP+JX	13	NP_SBJ
3	지난	지나 ㄴ	VV+ETM	4	VP_MOD
4	9일	9 일	SN+NNB	7	NP
5	오전	오전	NNG	7	NP
6	8시	8 시	SN+NNB	7	NP
7	15분경	15 분 경	SN+NNB+XSN	13	NP_AJT
8	서울에	서울 에	NNP+JKB	9	NP_AJT
9	위치한	위치 하 ㄴ	NNG+XSV+ETM	11	VP_MOD
10	한	한	MMN	11	DP
11	산부인과에서	산부인과 에서	NNG+JKB	13	NP_AJT
12	아들을	아들 을	NNG+JKO	13	NP_OBJ
13	출산했다.	출산 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00090_wikitree	이영표의 A매치 출전 횟수는 홍명보 축구 대표팀 감독(135경기)과 이운재(132경기)에 이어 국내 선수로는 세 번째로 많다.
1	이영표의	이영표 의	NNP+JKG	4	NP_MOD
2	A매치	A 매치	SL+NNG	3	NP
3	출전	출전	NNG	4	NP
4	횟수는	횟수 는	NNG+JX	10	NP_SBJ
5	홍명보	홍명보	NNP	8	NP
6	축구	축구	NNG	7	NP
7	대표팀	대표 팀	NNG+NNG	8	NP
8	감독(135경기)과	감독 ( 135 경기 ) 과	NNG+SS+SN+NNG+SS+JC	9	NP_CNJ
9	이운재(132경기)에	이운재 ( 132 경기 ) 에	NNP+SS+SN+NNG+SS+JKB	10	NP_AJT
10	이어	잇 어	VV+EC	15	VP
11	국내	국내	NNG	12	NP
12	선수로는	선수 로 는	NNG+JKB+JX	15	NP_AJT
13	세	세	MMN	14	DP
14	번째로	번 째 로	NNB+XSN+JKB	15	NP_AJT
15	많다.	많 다 .	VA+EF+SF	0	VP

## klue-dp-v1_train_00091_wikitree	사고 직후 대구광역시와 지하철 종사자들이 사고를 축소·은폐하고, 현장을 훼손하는 등 부실한 대응으로 피해가 확대된 것으로 밝혀졌다.
1	사고	사고	NNG	2	NP
2	직후	직후	NNG	7	NP_AJT
3	대구광역시와	대구광역시 와	NNP+JC	5	NP_CNJ
4	지하철	지하철	NNG	5	NP
5	종사자들이	종사자 들 이	NNG+XSN+JKS	7	NP_SBJ
6	사고를	사고 를	NNG+JKO	7	NP_OBJ
7	축소·은폐하고,	축소 · 은폐 하 고 ,	NNG+SP+NNG+XSV+EC+SP	9	VP
8	현장을	현장 을	NNG+JKO	9	NP_OBJ
9	훼손하는	훼손 하 는	NNG+XSV+ETM	10	VP_MOD
10	등	등	NNB	12	NP
11	부실한	부실 하 ㄴ	NNG+XSA+ETM	12	VP_MOD
12	대응으로	대응 으로	NNG+JKB	14	NP_AJT
13	피해가	피해 가	NNG+JKS	14	NP_SBJ
14	확대된	확대 되 ㄴ	NNG+XSV+ETM	15	VP_MOD
15	것으로	것 으로	NNB+JKB	16	NP_AJT
16	밝혀졌다.	밝히 어 지 었 다 .	VV+EC+VX+EP+EF+SF	0	VP

## klue-dp-v1_train_00092_wikitree	만성 심장질환을 앓던 소녀 조던은 루카스 심장을 이식받아 새 삶을 살게 됐다.
1	만성	만성	NNG	2	NP
2	심장질환을	심장 을 질환	NNG+JKO+NNG	3	NP_OBJ
3	앓던	앓 던	VV+ETM	5	VP_MOD
4	소녀	소녀	NNG	5	NP
5	조던은	조던 은	NNP+JX	8	NP_SBJ
6	루카스	루카스	NNP	7	NP
7	심장을	심장 을	NNG+JKO	8	NP_OBJ
8	이식받아	이식 받 아	NNG+VV+EC	11	VP
9	새	새	MMA	10	DP
10	삶을	삶 을	NNG+JKO	11	NP_OBJ
11	살게	살 게	VV+EC	12	VP
12	됐다.	되 었 다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00093_wikitree	이후 영상에서는 같은날 '프랑스 리그1' 25라운드 경기에서 즐라탄이 선보인 상의 탈의 세레머니가 이어졌다.
1	이후	이후	NNG	2	NP
2	영상에서는	영상 에서 는	NNG+JKB+JX	13	NP_AJT
3	같은날	같 은 날	VA+ETM+NNG	7	NP
4	'프랑스	' 프랑스	SS+NNP	5	NP
5	리그1'	리그 1 '	NNG+SN+SS	6	NP
6	25라운드	25 라운드	SN+NNG	7	NP
7	경기에서	경기 에서	NNG+JKB	9	NP_AJT
8	즐라탄이	즐라탄 이	NNP+JKS	9	NP_SBJ
9	선보인	선 보이 ㄴ	NNG+VV+ETM	12	VP_MOD
10	상의	상의	NNG	11	NP
11	탈의	탈의	NNG	12	NP
12	세레머니가	세레머니 가	NNG+JKS	13	NP_SBJ
13	이어졌다.	잇 어 지 었 다	VV+EC+VX+EP+EF	0	VP

## klue-dp-v1_train_00094_wikitree	경찰은 수년째 친부에게 성폭행 당하는 여성이 있다는 첩보를 입수, A씨를 붙잡아 수사를 벌인 뒤 딸의 피해 사실을 밝혀냈다.
1	경찰은	경찰 은	NNG+JX	18	NP_SBJ
2	수년째	수 년 째	MMN+NNB+XSN	5	NP_AJT
3	친부에게	친부 에게	NNG+JKB	5	NP_AJT
4	성폭행	성 폭행	NNG+NNG	5	NP_OBJ
5	당하는	당하 는	VV+ETM	6	VP_MOD
6	여성이	여성 이	NNG+JKS	7	NP_SBJ
7	있다는	있 다는	VV+ETM	8	VP_MOD
8	첩보를	첩보 를	NNG+JKO	9	NP_OBJ
9	입수,	입수 ,	NNG+SP	13	NP
10	A씨를	A 씨 를	SL+NNB+JKO	11	NP_OBJ
11	붙잡아	붙잡 아	VV+EC	13	VP
12	수사를	수사 를	NNG+JKO	13	NP_OBJ
13	벌인	벌이 ㄴ	VV+ETM	14	VP_MOD
14	뒤	뒤	NNG	18	NP_AJT
15	딸의	딸 의	NNG+JKG	16	NP_MOD
16	피해	피해	NNG	17	NP
17	사실을	사실 을	NNG+JKO	18	NP_OBJ
18	밝혀냈다.	밝히 어 내 었 다 .	VV+EC+VX+EP+EF+SF	0	VP

## klue-dp-v1_train_00095_wikitree	출제기관인 한국교육과정평가원은 24일 이같은 내용의 2015학년도 수능 정답을 확정했다고 발표했다.
1	출제기관인	출제 기관 이 ㄴ	NNG+NNG+VCP+ETM	2	VNP_MOD
2	한국교육과정평가원은	한국교육과정평가원 은	NNP+JX	10	NP_SBJ
3	24일	24 일	SN+NNB	10	NP_AJT
4	이같은	이 같 은	NP+VA+ETM	5	VP_MOD
5	내용의	내용 의	NNG+JKG	8	NP_MOD
6	2015학년도	2015 학년 도	SN+NNG+JX	8	NP
7	수능	수능	NNG	8	NP
8	정답을	정답 을	NNG+JKO	9	NP_OBJ
9	확정했다고	확정 하 였 다고	NNG+XSV+EP+EC	10	VP_AJT
